token                              over                                     scheme   ratio floor  verdict
apple.systemRed (.red)             apple-row                                light     3.55   4.5  FAIL
apple.systemRed (.red)             apple-form                               light     3.55   4.5  FAIL
apple.systemRed (.red)             apple-grouped                            light     3.18   4.5  FAIL
apple.systemRed (.red)             apple-sidebar                            light     2.93   4.5  FAIL
apple.systemOrange (.orange)       apple-row                                light     2.31   4.5  FAIL
apple.systemOrange (.orange)       apple-form                               light     2.31   4.5  FAIL
apple.systemOrange (.orange)       apple-grouped                            light     2.07   4.5  FAIL
apple.systemOrange (.orange)       apple-sidebar                            light     1.91   4.5  FAIL
apple.systemOrange (.orange)       apple.systemOrange chip (0.12 wash)@apple-row light     2.09   4.5  FAIL
apple.systemYellow (.yellow)       apple-row                                light     1.51   4.5  FAIL
apple.systemYellow (.yellow)       apple-form                               light     1.51   4.5  FAIL
apple.systemYellow (.yellow)       apple-grouped                            light     1.35   4.5  FAIL
apple.systemYellow (.yellow)       apple-sidebar                            light     1.25   4.5  FAIL
apple.systemGreen (.green)         apple-row                                light     2.22   4.5  FAIL
apple.systemGreen (.green)         apple-form                               light     2.22   4.5  FAIL
apple.systemGreen (.green)         apple-grouped                            light     1.99   4.5  FAIL
apple.systemGreen (.green)         apple-sidebar                            light     1.83   4.5  FAIL
apple.systemBlue (.blue)           apple-row                                light     4.02   4.5  FAIL
apple.systemBlue (.blue)           apple-form                               light     4.02   4.5  FAIL
apple.systemBlue (.blue)           apple-grouped                            light     3.60   4.5  FAIL
apple.systemBlue (.blue)           apple-sidebar                            light     3.31   4.5  FAIL
apple.WarningTint-0.65 (#1457)     apple-row                                light     5.04   4.5  pass
apple.WarningTint-0.65 (#1457)     apple-form                               light     5.04   4.5  pass
apple.WarningTint-0.65 (#1457)     apple-grouped                            light     4.52   4.5  pass
apple.WarningTint-0.65 (#1457)     apple-sidebar                            light     4.16   4.5  FAIL
apple.WarningTint-0.55 (#1461)     apple-row                                light     6.53   4.5  pass
apple.WarningTint-0.55 (#1461)     apple-form                               light     6.53   4.5  pass
apple.WarningTint-0.55 (#1461)     apple-grouped                            light     5.85   4.5  pass
apple.WarningTint-0.55 (#1461)     apple-sidebar                            light     5.39   4.5  pass
apple.AccentColor                  apple-row                                light     7.12   4.5  pass
apple.AccentColor                  apple-form                               light     7.12   4.5  pass
apple.AccentColor                  apple-grouped                            light     6.38   4.5  pass
apple.AccentColor                  apple-sidebar                            light     5.88   4.5  pass
apple.LogoTint                     apple-row                                light     8.84   4.5  pass
apple.LogoTint                     apple-form                               light     8.84   4.5  pass
apple.LogoTint                     apple-grouped                            light     7.93   4.5  pass
apple.LogoTint                     apple-sidebar                            light     7.30   4.5  pass
